instance,alpha,iters,mean_obj,std_obj,mean_t
instance10_nreq50_nveh2_gamma48,0.1,5,2594.1274447023843,25.616901969202427,0.0869765664
instance10_nreq50_nveh2_gamma48,0.1,10,2582.422088233738,30.031448022426677,0.0219710914
instance10_nreq50_nveh2_gamma48,0.1,30,2562.5486221567867,17.308530611940984,0.0349966086
instance10_nreq50_nveh2_gamma48,0.3,5,2812.9881302087315,40.35504634745478,0.0175749914
instance10_nreq50_nveh2_gamma48,0.3,10,2783.685484729051,31.721697382077647,0.0210161334
instance10_nreq50_nveh2_gamma48,0.3,30,2740.412932465925,44.645021079563776,0.034972575000000006
instance10_nreq50_nveh2_gamma48,0.5,5,3095.583861189055,34.47119496746147,0.017523158200000003
instance10_nreq50_nveh2_gamma48,0.5,10,3065.5491026553923,24.51518497879573,0.020997391799999997
instance10_nreq50_nveh2_gamma48,0.5,30,3033.523076140367,45.3420536628885,0.035168574800000005
instance10_nreq50_nveh2_gamma48,0.7,5,3396.988588139986,43.562725424417216,0.0173919082
instance10_nreq50_nveh2_gamma48,0.7,10,3350.7515844529,90.87147104793011,0.021391616799999996
instance10_nreq50_nveh2_gamma48,0.7,30,3284.5296212671246,41.96748933452739,0.035292558200000004
instance11_nreq50_nveh2_gamma45,0.1,5,2152.7976883571355,24.285734263009743,0.0166859914
instance11_nreq50_nveh2_gamma45,0.1,10,2144.7459132092595,22.357179634626814,0.0201595916
instance11_nreq50_nveh2_gamma45,0.1,30,2109.79399358061,18.135325446823,0.0341443164
instance11_nreq50_nveh2_gamma45,0.3,5,2361.5044753179955,73.5710096233806,0.0164089916
instance11_nreq50_nveh2_gamma45,0.3,10,2332.05652819861,48.624583712357634,0.021026066599999997
instance11_nreq50_nveh2_gamma45,0.3,30,2297.6799314485634,53.7976744513122,0.034356175
instance11_nreq50_nveh2_gamma45,0.5,5,2638.6664300518887,22.147236259258097,0.016573616800000003
instance11_nreq50_nveh2_gamma45,0.5,10,2589.076519665596,39.37063519035475,0.021022375
instance11_nreq50_nveh2_gamma45,0.5,30,2498.8348373761337,28.333335473400645,0.0341731666
instance11_nreq50_nveh2_gamma45,0.7,5,2905.466686142121,17.835487402789273,0.0215027748
instance11_nreq50_nveh2_gamma45,0.7,10,2851.251659359015,31.635320175602345,0.0203877498
instance11_nreq50_nveh2_gamma45,0.7,30,2800.2660265429627,63.57717907915212,0.0344813666
instance12_nreq50_nveh2_gamma46,0.1,5,2365.3733314817887,32.83909200990596,0.0167564914
instance12_nreq50_nveh2_gamma46,0.1,10,2337.8881969365566,35.94733473473136,0.036939174799999995
instance12_nreq50_nveh2_gamma46,0.1,30,2302.681749933039,15.359941783974866,0.0348355914
instance12_nreq50_nveh2_gamma46,0.3,5,2664.5338768180613,63.82008184607814,0.0167267084
instance12_nreq50_nveh2_gamma46,0.3,10,2630.080228972441,48.808893069126526,0.0204343252
instance12_nreq50_nveh2_gamma46,0.3,30,2572.0914784252154,43.32091219178407,0.034155900200000006
instance12_nreq50_nveh2_gamma46,0.5,5,2937.296739647581,46.680109319002646,0.0168940666
instance12_nreq50_nveh2_gamma46,0.5,10,2899.8327470370687,40.76505410868545,0.02450095
instance12_nreq50_nveh2_gamma46,0.5,30,2855.1523940994553,51.73081979377298,0.034698757999999996
instance12_nreq50_nveh2_gamma46,0.7,5,3106.5890547625145,65.76959425085923,0.0169536252
instance12_nreq50_nveh2_gamma46,0.7,10,3070.8418954891276,62.572059858034024,0.0205325332
instance12_nreq50_nveh2_gamma46,0.7,30,3022.8602577480406,40.52473318738062,0.0345402082
instance13_nreq50_nveh2_gamma47,0.1,5,2424.77211635286,22.09568476532183,0.0173782832
instance13_nreq50_nveh2_gamma47,0.1,10,2391.7332454846187,15.265832013071947,0.0227334416
instance13_nreq50_nveh2_gamma47,0.1,30,2381.9829273490272,22.59316852281538,0.0348736246
instance13_nreq50_nveh2_gamma47,0.3,5,2700.452803899826,54.6237923887744,0.022505074800000004
instance13_nreq50_nveh2_gamma47,0.3,10,2659.698543640551,54.2372760311627,0.0208758584
instance13_nreq50_nveh2_gamma47,0.3,30,2642.2594552998735,45.59761721227048,0.03498404979999999
instance13_nreq50_nveh2_gamma47,0.5,5,3057.098260297621,97.91317085311111,0.0169118334
instance13_nreq50_nveh2_gamma47,0.5,10,2976.136220133489,64.59684770571874,0.022449249999999997
instance13_nreq50_nveh2_gamma47,0.5,30,2900.2148931384572,32.644927540147435,0.0356300748
instance13_nreq50_nveh2_gamma47,0.7,5,3344.756564568789,30.892994815731097,0.017164358400000003
instance13_nreq50_nveh2_gamma47,0.7,10,3290.8927802368453,84.69629154740431,0.0209166666
instance13_nreq50_nveh2_gamma47,0.7,30,3199.8412603126135,38.491640896135145,0.03516356700000001
instance14_nreq50_nveh2_gamma45,0.1,5,2066.896301644286,35.19303833809417,0.016662191799999997
instance14_nreq50_nveh2_gamma45,0.1,10,2038.0724057076754,14.433786803486102,0.0202032584
instance14_nreq50_nveh2_gamma45,0.1,30,2022.534830116386,14.448902877946354,0.03368996640000001
instance14_nreq50_nveh2_gamma45,0.3,5,2352.3649646801064,52.87180736435958,0.016736475
instance14_nreq50_nveh2_gamma45,0.3,10,2317.963730630573,35.15575261501245,0.020194349999999996
instance14_nreq50_nveh2_gamma45,0.3,30,2285.6441438789475,17.587351772969814,0.034105825
instance14_nreq50_nveh2_gamma45,0.5,5,2687.8928274066443,25.42378490037722,0.016614133200000002
instance14_nreq50_nveh2_gamma45,0.5,10,2673.9451529446296,12.574689303360323,0.020295825
instance14_nreq50_nveh2_gamma45,0.5,30,2608.876558815554,41.30772635894848,0.0353314332
instance14_nreq50_nveh2_gamma45,0.7,5,2940.934355110884,91.96646380234105,0.0166871662
instance14_nreq50_nveh2_gamma45,0.7,10,2926.0558324833087,58.800671857270686,0.0221960084
instance14_nreq50_nveh2_gamma45,0.7,30,2871.4617176714505,33.368335866538246,0.0342130584
